ConceptScheme URI,http://w3id.org/tna-vocab/,,,,
PREFIX,tna,http://w3id.org/tna-vocab/,,,
PREFIX,aat,http://vocab.getty.edu/aat/,,,
dc:creator,The National Archives,,,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,,,
,,,,,
URI,skos:prefLabel@en,skos:exactMatch,skos:closeMatch,skos:broadMatch,skos:narrowMatch
tna:f8ab523b-8992-4cb3-b24a-f693372af035,Sekishu Hanshi K25 25 gsm,,aat:300014143,,
tna:0ed43525-8ecd-4797-99f2-edad445a5c43,Sekishu Natural 34 gsm,,aat:300014143,,
tna:532a1feb-73ae-483a-b11c-aa4046d9c9ea,Sekishu Shi 31 gsm,,aat:300014143,,
tna:855a6208-0c5b-4837-a55e-71c5fd92ee1a,Tengujo 1907/1002 11 gsm,,aat:300014143,,
tna:3a75eb2c-6ff5-4572-970e-9d936d903fa4,Tengujo (Bib) 12 gsm,,aat:300014143,,
tna:6794542a-1e50-4fd2-bde7-84135a6c8884,Tosa Kozoshi Kasaban 46 gsm,,aat:300014143,,
tna:059339a2-010e-465f-b644-8b0471316404,Urishikoshi - Kozo 5.7 gsm,,aat:300014143,,
tna:188850f3-b2ca-42a3-9c88-1fca7d0daabe,Usu mino 28 gsm,,aat:300014143,,
tna:085dc14a-5ec2-46d3-8a9a-04f2c74aa76b,Unsu mino K38 16 gsm,,aat:300014143,,
tna:e87a3fbf-3d39-4efc-994b-fe7db09b6f56,Japanese paper,aat:300014143,,,
tna:47c4ba86-c725-4f6f-a3f4-e356b33ae917,Blotting paper 300 gsm,aat:300014148,,,
tna:d195aeef-326f-4b71-bcac-a96a007f8fd3,Bloomsbury laid 70 gsm,aat:300014184,,,
tna:78cd3f36-e4ef-4ca4-9ae7-96cea9d5f3ce,Mill board (green) 1.5 mm,aat:300014233,,,
tna:397a130f-f1ba-450b-88cb-285fdaf2231a,Mill board (green) 1.8 mm,aat:300014233,,,
tna:f577af0c-c86a-4e2f-bfea-72b297d48929,Mill board (green) 2.3 mm,aat:300014233,,,
tna:be41a4c5-61a0-4d91-a6bc-7d9f915dce1d,Mill board (green) 2.9 mm,aat:300014233,,,
tna:03759496-ab97-4db5-b603-83b6c956427c,Millboard (grey) 1.0 mm,aat:300014233,,,
tna:efd8ca0b-2863-4eb9-ba46-a6e33c7e4486,Museum board cream 1100,aat:300014237,,,
tna:4469e8c5-587d-4381-a0a9-3798b4416e9a,Museum board cream 1650,aat:300014237,,,
tna:d31b9f6d-e5a1-4576-a9a6-a2abdb03ed2e,Museum board cream 2200,aat:300014237,,,
tna:be679c01-c8db-46b4-9f44-c16399d8e259,Museum board TG off white 1100,aat:300014237,,,
tna:a495ed47-c4eb-48eb-a155-f487877518ce,Museum board TG off white 1650,aat:300014237,,,
tna:b0a3f114-a604-4512-8e63-56487fada758,Museum board TG off white 2200,aat:300014237,,,
tna:328b2a07-cc5f-4e19-a1c7-4dfce3b22556,Museum Board - not specified,aat:300014237,,,
tna:c239ded5-fbfc-4293-9dff-6d1f228a2d05,Hemp cord,aat:300014247,,,
tna:f517d2b7-2548-4c37-a1dd-ec924b867a18,Linen thread 16/2 hard satin,aat:300014250,,,
tna:81bf31f3-81d0-4c1e-bb13-4ff8c0fb2b6c,Linen thread 16/3 satin,aat:300014250,,,
tna:58b6ed79-5146-4a27-887f-3dddc0a30d48,Linen thread 16/4 satin,aat:300014250,,,
tna:696da320-8d94-4450-95fc-16468d374d35,Linen thread 16/5 hard satin,aat:300014250,,,
tna:07617d48-c463-4c2b-801e-e66db3c5ac7b,Linen thread 35/3,aat:300014250,,,
tna:1fbde42a-874a-4c99-9590-3eb48439a8cd,Thread,aat:300014250,,,
tna:585d5a43-9890-4664-a100-9ec9a94cc982,Twine,aat:300014251,,,
tna:753c8341-d3e4-4bb9-a43f-4780013f5c7b,Lascaux 303 HV,,aat:300014426,,
tna:09f74b0b-c9eb-4b87-80cd-d49523c46e20,Lascaux 360 HV,,aat:300014426,,
tna:6de08d87-4c1f-4a60-9e57-de2befcc18a3,Lascaux 498 HV,,aat:300014426,,
tna:7514f06a-2ac1-4d6a-b9d0-92029f7599ed,"Polythene, clear 250 gauge",,aat:300014482,,
tna:61351c67-cf87-45fc-8b70-06d3d1211883,"Polythene, clear 400 gauge",,aat:300014482,,
tna:f0b2af66-9a2c-468b-b5a2-7db16f3648d4,Poval PVA 505,aat:300014507,,,
tna:8684944e-266a-46db-af26-95e6abb4fa73,Poval PVA 80,aat:300014507,,,
tna:c6284d8d-f01f-4fa2-b49e-c47331c27f1d,Reversible PVA Adhesive,,aat:300014507,,
tna:38b2689c-0a08-4004-bb93-f204f47a3fc3,PVA,aat:300014507,,,
tna:0a8b6ca9-be7c-400c-a207-21a8e608ab1c,Mowiol 4-88,,aat:300014509,,
tna:fad82280-dfc3-47a8-b249-0195d9b3d3f4,Beeswax,aat:300014588,,,
tna:5826156e-306e-4874-8775-9299d77298aa,Woolfat,aat:300014595,,,
tna:2e2dd862-2091-42da-a7b9-60ae6b218492,Anhydrous lanolin,aat:300014595,,,
tna:da71ce62-0b5a-45ad-a6b4-5e360b90c99a,Paraffin Wax,aat:300014603,,,
tna:0edb4485-1ff1-4e58-8b26-065fe289654b,Renaissance wax,aat:300014605,,,
tna:5c650b05-3521-4163-9705-4d4a7aacacd9,Isinglass,aat:300014822,,,
tna:415cdba9-b3d6-4f0c-b90b-398df42f9448,Swift,,aat:300014838,,
tna:ad478f9a-f546-4fe1-9447-eb18050192b9,Clam,,aat:300014838,,
tna:ac02099b-cd6f-42fd-95fc-434014a95bd0,Matt-lustre,,aat:300014996,,
tna:602fcbe6-3ea5-4d3e-9bcc-f208b4bdacaa,Acematt HK 125,,aat:300014996,,
tna:90e47f50-91b6-4bf3-9ac9-0849244193ca,Watercolour paints,aat:300015045,,,
tna:ec4d3175-5a0e-4f37-87bd-57d97072a702,Acrylic inks,,aat:300015058,,
tna:d9826886-8706-42fc-80e5-44ebf0eace37,Acrylic paints,aat:300015058,,,
tna:8bc09dd5-258b-46ee-b846-7adafb32cc94,Ethanol,aat:300015231,,,
tna:f917361e-8ba1-4649-83b3-96885be4aa96,Industrial methylated spirits,aat:300015236,,,
tna:9072270b-c804-4dec-bd8c-c4eb81ec3f3a,Propan-2-ol,aat:300015237,,,
tna:d545f1c8-a032-4a02-a951-f6bdb885d673,Methanol,aat:300015238,,,
tna:78826b95-8699-46bd-ac24-08bfae98f846,Xylene,aat:300015249,,,
tna:f4cad3b8-0cc4-4fa1-9f99-63afd82e520c,Ethyl acetate,aat:300015261,,,
tna:50cf7ba0-cbba-48f6-a3cf-fc93045b6614,Acetone,aat:300015269,,,
tna:b43d9bfd-46d4-410e-b86c-dc8d038c1a11,Ethyl methyl ketone,aat:300015273,,,
tna:b1604e5a-f008-4e33-bd8c-fc79c543b0ee,Turpentine oil,aat:300015288,,,
tna:bae7d409-d0d4-4d17-88c3-ae40f605a33e,Sanford magic rub eraser,,aat:300022508,,
tna:129e6bd6-6025-4a55-a934-65ae003f0b20,Staedtler Mars plastic eraser,,aat:300022508,,
tna:827e0da6-2289-499f-ac09-c6d3e2a3ed76,laminated,aat:300053022,,,
tna:0a658c8d-70de-4aad-8ae7-6ba3837f9e2a,lamination,aat:300053022,,,
tna:aad6a0c7-50d2-46c2-b5cd-a13bbbfb3219,mechanical surface cleaning,aat:300053042,,,
tna:aa2c429f-069f-4b6d-a46c-f4336e5cf324,mould cleaned,aat:300053042,,,
tna:f63ee520-f3a8-49e6-88fb-98555230a99a,washed,aat:300053042,,,
tna:72c8718a-2e39-4484-ad02-9325171bd622,mechanical surface cleaning,aat:300053042,,,
tna:964c130d-145a-475f-87aa-44fcb32c6145,paste wash,aat:300053042,,,
tna:0bf1b040-77de-44d7-8467-6fcb83bf3573,washing,aat:300053042,,,
tna:240e44f6-6191-483a-8d6e-bea3c1bef719,broken,aat:300053083,,,
tna:ebc727e1-e201-4146-97f9-8688d3ce58eb,infilled/pulp/leafcast,aat:300053092,,,
tna:8139ac28-a531-430a-a084-50c543537373,repaired,aat:300053737,,,
tna:b46d416c-0432-4ad7-baea-322a3624ef95,backfold repaired,aat:300053737,,,
tna:846c90f2-8bf3-4331-a4c0-c589e18bf270,lining(s) repaired,aat:300053737,,,
tna:cac33bb7-ebba-4a73-9cf5-72a5e870bfe4,original hollow repaired,,aat:300053737,,
tna:b0d03171-6fd5-4de0-ab01-7db9814040f9,paper repair,,aat:300053737,,
tna:05cb0b09-c50a-4fca-b305-6515214864ad,joint repaired,aat:300053737,,,
tna:dd54347e-d8c9-4855-87ca-fefc230a92a8,hook guard repaired,aat:300053737,,,
tna:68019a05-560c-42c4-b18f-c5b24ca6a32e,repaired,aat:300053737,,,
tna:043a7fd8-a57f-41e4-93c8-1530a66a94e2,board corner repair,aat:300053737,,,
tna:abe5c64c-b6ab-4f77-8c0b-1313144505ca,Agar powder,aat:300130954,,,
tna:0a5ae7f3-c814-430b-a48b-a0f9632db6d6,detached,aat:300131111,,,
tna:7f7a1ec4-b4e9-41db-bf5d-96409fdc3d8c,distorted,aat:300155059,,,
tna:234c0e82-47d3-4d90-903b-6b91989d4443,lined,aat:300162124,,,
tna:dfdae9d1-cc82-4a00-bb40-638b05ba551a,lined,aat:300162124,,,
tna:65015dca-728e-4c04-96d5-e56dee6a99b9,E flute corrugated board,aat:300183678,,,
tna:17505190-f2a2-4ff1-a8f7-ec9c08253638,Archival grey/white folding boxboard - 1300 mic,,aat:300183688,,
tna:a4048688-1758-466d-b225-ff64fabe1d69,Silicone release paper,,aat:300189223,,
tna:6088c975-f622-4720-b235-9f72037762bd,Animal glue,aat:300192836,,,
tna:eda781a6-9947-4201-8c26-8b0c6b46e0ec,Hot glue,aat:300192836,,,
tna:84f60923-53e1-4d0f-961c-ca9ccb95200e,wrapper,,aat:300195133,,
tna:c05dc5ce-f96a-4941-987e-66a4c4b9c677,dust jacket,aat:300195133,,,
tna:add7f9a6-c5ef-4ffb-8be6-a6b793a82039,polyester sleeve,,aat:300197601,,
tna:4dfcd6f6-256f-4e22-8e79-0db776844d6d,envelope,aat:300197601,,,
tna:4803e9d4-7489-4211-a7d2-1b2c2636311e,four flap enclosure,,aat:300197602,,
tna:0afe4541-eabc-46bf-a661-2b58cecdce5b,box,,aat:300198834,,
tna:b8798cc1-47ba-4a23-bb82-ccd990886637,slip case,aat:300200341,,,
tna:33258881-c175-40f9-be1f-2ccac3aceb41,endleaves,aat:300209357,,,
tna:ab1d0538-1f72-4f9b-89c1-878d9bd180cb,Calcium carbonate,aat:300212174,,,
tna:dd91eccf-00b8-4b07-b9c3-9adaf8efc9f1,Rice starch paste,aat:300212558,,,
tna:4fea25bd-7e38-45f5-86e4-8408f8e9ea58,Shoufu,,aat:300212564,,
tna:295a88cc-87f2-48f4-b390-16127f014196,Starch wheat,,aat:300212564,,
tna:cd06e2b9-4413-43c9-b899-9cb8be2645ce,Ultrabond heatset adhesive,aat:300212571,,,
tna:773d6439-ea07-4af1-96c2-b05f3ceb2022,consolidated,aat:300219960,,,
tna:185439a5-2971-411f-b650-9c8df26d6ebb,consolidated,aat:300219960,,,
tna:131c0853-4f7e-45ce-984e-bff856aa41c5,consolidated,aat:300219960,,,
tna:55b31b8c-3d69-4058-8450-599f49011fb7,sewing reinforced,,aat:300223809,,
tna:3e776798-d1d0-421a-a773-11eb65598ed8,sewing support(s) reinforced,aat:300223809,,,
tna:ad0930c8-6cbc-4a9a-8324-ffa5220df463,outside joint strengthened,,aat:300223809,,
tna:e05b519b-a675-418e-9f10-d58833f0cfb6,sewing support(s) replaced,aat:300223820,,,
tna:2f0a725e-33d3-4290-8b38-6e7cca755589,new cover,aat:300223820,,,
tna:48b2d0ca-47ab-4195-9fec-b10b2872cd9a,new spine piece,aat:300223820,,,
tna:949dc6d8-1c19-4d95-a552-43b470fa66f3,new board(s) attached,,aat:300223820,,
tna:af3d5dba-95a3-446f-8c9f-fb2938d0e717,tape/adhered material removed,,aat:300224146,,
tna:bdab5cae-14bb-4a5d-8556-fa3112c24e9f,old repairs removed,,aat:300224146,,
tna:effff66a-6768-435c-a498-fa0fb94189db,adhesive removed,aat:300224146,,,
tna:868b0071-f84b-47a0-9739-64d5e86882cd,lining(s) removed,aat:300224146,,,
tna:fce7af44-8065-48b3-b361-02bc42154a2c,old repairs and adhesive tapes removed,,aat:300224146,,
