ConceptScheme URI,http://w3id.org/bod-vocab/,,,
PREFIX,bvc,http://w3id.org/bod-vocab/,,
PREFIX,aat,http://vocab.getty.edu/aat/,,
dc:creator,Bodleian Library,,,
dct:rights,https://creativecommons.org/licenses/by/4.0/,,,
,,,,
URI,skos:prefLabel@en,skos:exactMatch,skos:closeMatch,skos:broadMatch
bvc:a1c23f7c-1319-4340-b8a2-881da7a3a2c2,borders,aat:300010252,,
bvc:3901dfc4-a75e-493c-a0f3-ebbcd495906e,attached,aat:300010271,,
bvc:270e99b3-fdd1-49a0-98f1-a15f9684d12f,centre,aat:300010272,,
bvc:4049c587-88f9-4db1-907f-567938445322,outside,aat:300010277,,
bvc:25dd9326-c5c2-47ec-ae33-ab0a9965637c,inside,aat:300010279,,
bvc:ef529fe4-9fb8-46c2-8130-42fa71607f15,sides,aat:300010289,,
bvc:24f97f0d-2d23-4b9b-afbc-e9523175c184,verso,aat:300010292,,
bvc:c4803b8e-0ca5-42f2-804e-594b1ee55b83,metal,aat:300010900,,
bvc:54d58a0a-a7ee-4948-8f36-9bcd008d70b9,brass,aat:300010946,,
bvc:1888fa9e-2aac-47be-9fc4-8e49dba0bf1a,gelatine,aat:300011812,,
bvc:40137aae-f3c1-4d92-a4fd-3ea7712d5c32,wood,aat:300011914,,
bvc:007fd6ce-1d84-4b25-9e81-4f8e521ea027,beech wood,aat:300011948,,
bvc:e7617fc2-4331-4a48-b671-c4b0af964269,dye,aat:300013029,,
bvc:dfc68bd7-0513-4d65-b5c0-94c91d60f01d,fibres,aat:300014024,,
bvc:c3aa837f-387e-4da0-a48c-acf8d1817f1a,hemp,aat:300014043,,
bvc:41364e21-fe25-412f-b90a-5dc7a9b25962,paper,aat:300014109,,
bvc:16b01476-3767-4d6a-83cb-b7d52ad36498,blotters,aat:300014148,,
bvc:2d0b5000-0a2f-491c-ad6e-671a4760f676,mill board,aat:300014233,,
bvc:749720c4-028b-410d-891b-94d913e3c147,mount board,aat:300014237,,
